"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-27266","WR","Quincy","Quincy Enunwa","Enunwa","11.90000025431315","3","6100","NYJ@JAC","NYJ","JAC","","","","",""
"28509-14194","QB","Blaine","Blaine Gabbert","Gabbert","4.293333371480306","3","6100","PHI@TEN","TEN","PHI","Q","Concussion","","",""
"28509-14257","WR","Randall","Randall Cobb","Cobb","10.666666666666666","3","6100","BUF@GB","GB","BUF","","","","",""
"28509-14377","QB","Tyrod","Tyrod Taylor","Taylor","14.326666514078775","3","6000","CLE@OAK","CLE","OAK","Q","Concussion","","",""
"28509-30761","QB","Nathan","Nathan Peterman","Peterman","-0.9399999976158142","1","6000","BUF@GB","BUF","GB","","","","",""
"28509-30788","QB","Tyler","Tyler Bray","Bray","-2","1","6000","TB@CHI","CHI","TB","","","","",""
"28509-39034","QB","Kurt","Kurt Benkert","Benkert","0","0","6000","CIN@ATL","ATL","CIN","","","","",""
"28509-83079","QB","Kyle","Kyle Lauletta","Lauletta","0","0","6000","NO@NYG","NYG","NO","","","","",""
"28509-27801","QB","Nate","Nate Sudfeld","Sudfeld","7.559999942779541","1","6000","PHI@TEN","PHI","TEN","","","","",""
"28509-83130","QB","Chad","Chad Kanoff","Kanoff","0","0","6000","SEA@ARI","ARI","SEA","","","","",""
"28509-57537","QB","DeShone","DeShone Kizer","Kizer","-0.800000011920929","1","6000","BUF@GB","GB","BUF","","","","",""
"28509-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","PHI@TEN","TEN","PHI","","","","",""
"28509-29915","QB","Brett","Brett Hundley","Hundley","12.358182040127842","11","6000","SEA@ARI","SEA","ARI","","","","",""
"28509-54507","QB","Alex","Alex McGough","McGough","0","0","6000","SEA@ARI","SEA","ARI","","","","",""
"28509-11512","TE","Jimmy","Jimmy Graham","Graham","7.099999745686849","3","6000","BUF@GB","GB","BUF","","","","",""
"28509-39179","QB","Tanner","Tanner Lee","Lee","0","0","6000","NYJ@JAC","JAC","NYJ","","","","",""
"28509-31047","QB","AJ","AJ McCarron","McCarron","1.3200000524520874","2","6000","CLE@OAK","OAK","CLE","","","","",""
"28509-27982","QB","Jake","Jake Rudock","Rudock","-0.03999999910593033","1","6000","DET@DAL","DET","DAL","","","","",""
