PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Wayne Gallman	RB	NYG	NO	145	53.00	0.00	26.50	0.28	3900	2.4	0.6
J.J. Nelson	WR	ARI	SEA	160	40.00	0.00	20.00	0.03	3000	2.4	0.8
Marvin Hall	WR	ATL	CIN	-195	52.50	-3.50	28.00	0.72	3000	2.4	0.8
Jordan Akins	TE	HOU	@IND	0	0.00	0.00	0.00	0.66	2500	2.3	0.9
Tim Patrick	WR	DEN	KC	165	54.50	0.00	27.25	0.47	3000	2.3	0.8
Luke Willson	TE	DET	@DAL	125	44.00	2.50	20.75	0.45	2700	2.3	0.8
TJ Jones	WR	DET	@DAL	125	44.00	2.50	20.75	0.12	3000	2.2	0.7
Chris Moore	WR	BAL	@PIT	135	51.00	3.00	24.00	0.39	3000	2.2	0.7
Chase Edmonds	RB	ARI	SEA	160	40.00	0.00	20.00	0.02	4300	2.2	0.5
Tre'Quan Smith	WR	NO	@NYG	-170	53.00	0.00	26.50	0.26	3400	2.1	0.6
Spencer Ware	RB	KC	@DEN	-195	54.50	0.00	27.25	0.15	3800	2.1	0.6
Corey Grant	RB	JAX	NYJ	-350	39.50	-7.50	23.50	0.21	3800	2.0	0.5
Josh Hill	TE	NO	@NYG	-170	53.00	0.00	26.50	0.69	2500	2.0	0.8
Jermaine Gresham	TE	ARI	SEA	160	40.00	0.00	20.00	0.15	2500	2.0	0.8
Nick Vannett	TE	SEA	@ARI	-190	40.00	0.00	20.00	0.12	2500	2.0	0.8
Wendell Smallwood	RB	PHI	@TEN	-160	41.00	0.00	20.50	0.02	3600	1.9	0.5
Garrett Celek	TE	SF	@LAC	360	46.00	10.00	18.00	1.09	2500	1.9	0.7
DaeSean Hamilton	WR	DEN	KC	165	54.50	0.00	27.25	0.38	3000	1.9	0.6
James O'Shaughnessy	TE	JAX	NYJ	-350	39.50	-7.50	23.50	0.50	2500	1.8	0.7
Jacob Hollister	TE	NE	MIA	-280	49.50	-6.50	28.00	0.95	2500	1.7	0.7
Tyler Kroft	TE	CIN	@ATL	165	52.50	3.50	24.50	0.91	2500	1.7	0.7
Terrance Williams	WR	DAL	DET	-145	44.00	-2.50	23.25	0.14	3000	1.7	0.6
Stacy Coley	WR	NYG	NO	145	53.00	0.00	26.50	0.16	3000	1.7	0.6
Nick Chubb	RB	CLE	@OAK	115	44.00	2.50	20.75	0.19	3500	1.6	0.5
Justin Hunter	WR	PIT	BAL	-160	51.00	-3.00	27.00	0.28	3000	1.6	0.5
Justin Watson	WR	TB	@CHI	125	46.00	3.00	21.50	0.11	3000	1.4	0.5
Logan Paulsen	TE	ATL	CIN	-195	52.50	-3.50	28.00	0.97	2500	1.4	0.6
Rod Streater	WR	CLE	@OAK	115	44.00	2.50	20.75	0.12	3000	1.4	0.5
Lance Kendricks	TE	GB	BUF	-420	44.00	-9.50	26.75	0.77	2500	1.4	0.5
Zach Pascal	WR	IND	HOU	0	0.00	0.00	0.00	0.09	3000	1.3	0.4
Darren Fells	TE	CLE	@OAK	115	44.00	2.50	20.75	0.42	2500	1.3	0.5
Richie James	WR	SF	@LAC	360	46.00	10.00	18.00	0.43	3000	1.3	0.4
Mike Gillislee	RB	NO	@NYG	-170	53.00	0.00	26.50	0.25	3000	1.3	0.4
Derek Carrier	TE	OAK	CLE	-135	44.00	-2.50	23.25	0.33	2500	1.3	0.5
Auden Tate	WR	CIN	@ATL	165	52.50	3.50	24.50	0.32	3000	1.2	0.4
Sammie Coates	WR	HOU	@IND	0	0.00	0.00	0.00	0.11	3000	1.2	0.4
Ray-Ray McCloud	WR	BUF	@GB	320	44.00	9.50	17.25	0.28	3000	1.1	0.4
Shelton Gibson	WR	PHI	@TEN	-160	41.00	0.00	20.50	0.01	3000	1.1	0.4
Dion Sims	TE	CHI	TB	-145	46.00	-3.00	24.50	0.54	2500	1.1	0.4
Rod Smith	RB	DAL	DET	-145	44.00	-2.50	23.25	0.13	4000	1.1	0.3
Lamar Jackson	QB	BAL	@PIT	135	51.00	3.00	24.00	0.01	4500	0.9	0.2
Darrius Heyward-Bey	WR	PIT	BAL	-160	51.00	-3.00	27.00	0.18	3000	0.8	0.3
Niles Paul	TE	JAX	NYJ	-350	39.50	-7.50	23.50	0.31	2500	0.8	0.3
Justin Hardy	WR	ATL	CIN	-195	52.50	-3.50	28.00	0.32	3000	0.6	0.2
Josh Bellamy	WR	CHI	TB	-145	46.00	-3.00	24.50	0.14	3000	0.6	0.2
Alex Erickson	WR	CIN	@ATL	165	52.50	3.50	24.50	0.18	3000	0.5	0.2
Stevan Ridley	RB	PIT	BAL	-160	51.00	-3.00	27.00	0.20	3900	0.5	0.1
J'Mon Moore	WR	GB	BUF	-420	44.00	-9.50	26.75	0.20	3000	0.5	0.2
Brandon LaFell	WR	OAK	CLE	-135	44.00	-2.50	23.25	0.04	3000	0.4	0.2
Benny Cunningham	RB	CHI	TB	-145	46.00	-3.00	24.50	0.21	3400	0.4	0.1
Jordan Lasley	WR	BAL	@PIT	135	51.00	3.00	24.00	0.14	3000	0.3	0.1
