PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Sam Darnold	QB	NYJ	MIN	165	46.00	3.50	21.25	0.89	4900	14.2	2.9
Rob Gronkowski	TE	NE	@CHI	-150	48.50	-2.50	25.50	5.31	6000	13.9	2.3
Chris Thompson	RB	WAS	DAL	-120	41.50	-1.00	21.25	2.45	5800	13.7	2.4
Matt Breida	RB	SF	LAR	350	52.00	9.50	21.25	3.88	5300	13.4	2.5
Willie Snead	WR	BAL	NO	-145	49.50	-2.50	26.00	17.23	4000	13.4	3.4
Julian Edelman	WR	NE	@CHI	-150	48.50	-2.50	25.50	4.99	6600	13.3	2.0
Eric Ebron	TE	IND	BUF	-330	43.00	-7.50	25.25	7.54	5400	13.2	2.5
Tarik Cohen	RB	CHI	NE	130	48.50	2.50	23.00	6.95	5100	13.2	2.6
T.Y. Hilton	WR	IND	BUF	-330	43.00	-7.50	25.25	9.90	6200	13.0	2.1
Latavius Murray	RB	MIN	@NYJ	-195	46.00	-3.50	24.75	4.46	5000	13.0	2.6
Alshon Jeffery	WR	PHI	CAR	-225	44.50	-4.50	24.50	6.02	6300	13.0	2.1
Javorius Allen	RB	BAL	NO	-145	49.50	-2.50	26.00	13.35	4500	12.9	2.9
Michael Crabtree	WR	BAL	NO	-145	49.50	-2.50	26.00	11.34	5100	12.8	2.5
LeSean McCoy	RB	BUF	@IND	265	43.00	7.50	17.75	11.02	5600	12.8	2.3
Kenny Golladay	WR	DET	@MIA	-160	46.50	-3.00	24.75	4.13	6000	12.7	2.1
Jordan Howard	RB	CHI	NE	130	48.50	2.50	23.00	5.61	5500	12.4	2.3
Brock Osweiler	QB	MIA	DET	135	46.50	3.00	21.75	0.49	4700	12.3	2.6
Allen Robinson	WR	CHI	NE	130	48.50	2.50	23.00	5.58	6100	12.3	2.0
Mark Ingram	RB	NO	@BAL	125	49.50	2.50	23.50	6.50	5900	12.1	2.1
Kerryon Johnson	RB	DET	@MIA	-160	46.50	-3.00	24.75	4.40	4500	12.0	2.7
Greg Olsen	TE	CAR	@PHI	185	44.50	4.50	20.00	5.52	4400	11.9	2.7
Alex Collins	RB	BAL	NO	-145	49.50	-2.50	26.00	9.94	4800	11.8	2.5
DeSean Jackson	WR	TB	CLE	-195	51.50	-3.50	27.50	13.38	5800	11.8	2.0
George Kittle	TE	SF	LAR	350	52.00	9.50	21.25	3.79	5000	11.7	2.3
Marvin Jones	WR	DET	@MIA	-160	46.50	-3.00	24.75	3.93	4900	11.7	2.4
Adrian Peterson	RB	WAS	DAL	-120	41.50	-1.00	21.25	2.12	4600	11.7	2.5
Bilal Powell	RB	NYJ	MIN	165	46.00	3.50	21.25	1.75	4200	11.6	2.8
Nick Chubb	RB	CLE	@TB	165	51.50	3.50	24.00	27.04	3600	11.6	3.2
Derek Anderson	QB	BUF	@IND	265	43.00	7.50	17.75	1.51	4300	11.6	2.7
Devin Funchess	WR	CAR	@PHI	185	44.50	4.50	20.00	4.57	5300	11.4	2.2
Duke Johnson	RB	CLE	@TB	165	51.50	3.50	24.00	22.71	4000	11.4	2.8
Taylor Gabriel	WR	CHI	NE	130	48.50	2.50	23.00	5.69	4700	11.4	2.4
Jordan Reed	TE	WAS	DAL	-120	41.50	-1.00	21.25	3.17	4800	11.3	2.4
Peyton Barber	RB	TB	CLE	-195	51.50	-3.50	27.50	18.72	3800	11.3	3.0
Cole Beasley	WR	DAL	@WAS	100	41.50	1.00	20.25	4.14	3900	11.3	2.9
Kyle Rudolph	TE	MIN	@NYJ	-195	46.00	-3.50	24.75	4.36	3900	11.1	2.8
David Njoku	TE	CLE	@TB	165	51.50	3.50	24.00	9.32	4200	11.1	2.6
Trey Burton	TE	CHI	NE	130	48.50	2.50	23.00	5.17	4300	11.1	2.6
Kenyan Drake	RB	MIA	DET	135	46.50	3.00	21.75	3.25	4900	11.0	2.2
Wendell Smallwood	RB	PHI	CAR	-225	44.50	-4.50	24.50	5.48	4100	10.9	2.7
Keelan Cole	WR	JAX	HOU	-210	41.00	-4.50	22.75	4.02	4600	10.9	2.4
Dede Westbrook	WR	JAX	HOU	-210	41.00	-4.50	22.75	3.84	4800	10.9	2.3
Josh Gordon	WR	NE	@CHI	-150	48.50	-2.50	25.50	3.01	5600	10.8	1.9
John Brown	WR	BAL	NO	-145	49.50	-2.50	26.00	7.44	5700	10.7	1.9
Marlon Mack	RB	IND	BUF	-330	43.00	-7.50	25.25	7.94	4400	10.7	2.4
Albert Wilson	WR	MIA	DET	135	46.50	3.00	21.75	4.05	4000	10.6	2.7
Nelson Agholor	WR	PHI	CAR	-225	44.50	-4.50	24.50	4.61	5000	10.6	2.1
Antonio Callaway	WR	CLE	@TB	165	51.50	3.50	24.00	15.26	4300	10.5	2.5
O.J. Howard	TE	TB	CLE	-195	51.50	-3.50	27.50	8.44	3600	10.4	2.9
Paul Richardson	WR	WAS	DAL	-120	41.50	-1.00	21.25	2.09	4200	10.4	2.5
Corey Clement	RB	PHI	CAR	-225	44.50	-4.50	24.50	3.74	4700	10.3	2.2
Kenny Stills	WR	MIA	DET	135	46.50	3.00	21.75	3.21	4400	10.1	2.3
Donte Moncrief	WR	JAX	HOU	-210	41.00	-4.50	22.75	3.65	4100	10.0	2.4
Will Fuller	WR	HOU	@JAX	175	41.00	4.50	18.25	2.28	5500	9.9	1.8
Chris Godwin	WR	TB	CLE	-195	51.50	-3.50	27.50	10.97	4600	9.9	2.2
Anthony Miller	WR	CHI	NE	130	48.50	2.50	23.00	5.76	3400	9.8	2.9
Josh Doctson	WR	WAS	DAL	-120	41.50	-1.00	21.25	2.06	3600	9.7	2.7
Cameron Meredith	WR	NO	@BAL	125	49.50	2.50	23.50	6.33	3800	9.1	2.4
Lamar Miller	RB	HOU	@JAX	175	41.00	4.50	18.25	1.81	4200	9.1	2.2
Jacksonville Jaguars	D	JAX	HOU	175	41.00	4.50	18.25	0.00	3600	9.0	2.5
Pierre Garcon	WR	SF	LAR	350	52.00	9.50	21.25	1.62	4500	8.9	2.0
Marquise Goodwin	WR	SF	LAR	350	52.00	9.50	21.25	1.57	4600	8.9	1.9
Robby Anderson	WR	NYJ	MIN	165	46.00	3.50	21.25	0.85	4500	8.8	2.0
Isaiah Crowell	RB	NYJ	MIN	165	46.00	3.50	21.25	0.51	4400	8.6	2.0
D.J. Moore	WR	CAR	@PHI	185	44.50	4.50	20.00	2.97	3900	8.6	2.2
Chris Hogan	WR	NE	@CHI	-150	48.50	-2.50	25.50	2.47	3800	8.6	2.3
Jermaine Kearse	WR	NYJ	MIN	165	46.00	3.50	21.25	0.84	4100	8.5	2.1
Indianapolis Colts	D	IND	BUF	265	43.00	7.50	17.75	0.00	3300	8.4	2.6
Damion Ratley	WR	CLE	@TB	165	51.50	3.50	24.00	11.41	3600	8.4	2.3
Los Angeles Rams	D	LAR	@SF	350	52.00	9.50	21.25	0.00	3500	8.3	2.4
Philadelphia Eagles	D	PHI	CAR	185	44.50	4.50	20.00	0.00	2600	8.1	3.1
Chester Rogers	WR	IND	BUF	-330	43.00	-7.50	25.25	4.08	4700	7.9	1.7
Keke Coutee	WR	HOU	@JAX	175	41.00	4.50	18.25	1.46	4300	7.9	1.8
Nyheim Hines	RB	IND	BUF	-330	43.00	-7.50	25.25	4.08	4300	7.9	1.8
Frank Gore	RB	MIA	DET	135	46.50	3.00	21.75	1.91	3800	7.8	2.0
Ben Watson	TE	NO	@BAL	125	49.50	2.50	23.50	4.50	3000	7.5	2.5
Minnesota Vikings	D	MIN	@NYJ	165	46.00	3.50	21.25	0.00	3400	7.5	2.2
Detroit Lions	D	DET	@MIA	135	46.50	3.00	21.75	0.00	2400	6.9	2.9
Houston Texans	D	HOU	@JAX	-210	41.00	-4.50	22.75	0.00	2800	6.8	2.4
Tre'Quan Smith	WR	NO	@BAL	125	49.50	2.50	23.50	3.12	3700	6.6	1.8
Washington Redskins	D	WAS	DAL	100	41.50	1.00	20.25	0.00	2900	6.5	2.2
Chicago Bears	D	CHI	NE	-150	48.50	-2.50	25.50	0.00	2500	6.5	2.6
Nick O'Leary	TE	MIA	DET	135	46.50	3.00	21.75	2.53	2600	6.4	2.5
Maurice Harris	WR	WAS	DAL	-120	41.50	-1.00	21.25	0.72	3000	6.4	2.1
Baltimore Ravens	D	BAL	NO	125	49.50	2.50	23.50	0.00	2400	6.4	2.7
Cameron Brate	TE	TB	CLE	-195	51.50	-3.50	27.50	4.74	3100	6.2	2.0
Raheem Mostert	RB	SF	LAR	350	52.00	9.50	21.25	0.80	3300	6.2	1.9
Torrey Smith	WR	CAR	@PHI	185	44.50	4.50	20.00	1.49	3600	6.2	1.7
New England Patriots	D	NE	@CHI	130	48.50	2.50	23.00	0.00	2400	6.2	2.6
Dallas Goedert	TE	PHI	CAR	-225	44.50	-4.50	24.50	3.00	2600	6.2	2.4
Tampa Bay Buccaneers	D	TB	CLE	165	51.50	3.50	24.00	0.00	2300	6.1	2.7
Charles Clay	TE	BUF	@IND	265	43.00	7.50	17.75	3.96	2800	6.1	2.2
Miami Dolphins	D	MIA	DET	-160	46.50	-3.00	24.75	0.00	2500	6.1	2.4
Trent Taylor	WR	SF	LAR	350	52.00	9.50	21.25	0.63	4100	6.1	1.5
