PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Jack Doyle	UT	TE	IND	@NE	465	49.50	10.50	19.50	0.00	6400	9.1	1.4
Matt Bryant	UT	K	ATL	@PIT	155	57.00	3.50	26.75	0.00	3000	0.0	0.0
Zach Line	UT	FB	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	0.6	2.8
Ricky Ortiz	UT	FB	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	0.0	0.0
Bruce Ellington	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Brandon Zylstra	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Jamize Olawale	UT	FB	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	0.0	0.0
Darren Sproles	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3800	0.0	0.0
Dan Bailey	UT	K	MIN	@PHI	145	47.00	3.00	22.00	0.24	3400	0.0	0.0
James Develin	UT	FB	NE	IND	-630	49.50	-10.50	30.00	0.00	200	2.0	9.8
Xavier Grimble	UT	TE	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.6	2.8
T.Y. Hilton	UT	WR	IND	@NE	465	49.50	10.50	19.50	0.00	8800	14.8	1.7
Rex Burkhead	UT	RB	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Tyler Ervin	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.2	0.9
Matt Schaub	UT	QB	ATL	@PIT	155	57.00	3.50	26.75	0.00	7200	0.1	0.0
Brian Hoyer	UT	QB	NE	IND	-630	49.50	-10.50	30.00	0.00	6800	0.1	0.0
Marlon Mack	UT	RB	IND	@NE	465	49.50	10.50	19.50	0.00	2200	2.1	0.9
Brian Hill	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	0.0	0.0
Jake Elliott	UT	K	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3600	0.0	0.0
Eric Saubert	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	0.5	2.7
Vyncint Smith	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Brett Maher	UT	K	DAL	@HOU	145	45.50	3.00	21.25	0.37	3400	0.0	0.0
Dwayne Allen	UT	TE	NE	IND	-630	49.50	-10.50	30.00	0.00	2000	1.2	0.6
Buddy Howell	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Terrance Williams	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.00	400	0.0	0.0
Matthew Slater	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Jaylen Samuels	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	600	0.0	0.0
Eli Rogers	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.0	0.0
Mason Rudolph	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	7200	0.0	0.0
Josiah Price	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Le'Veon Bell	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.0	0.0
Brandon Weeden	UT	QB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	6400	0.1	0.0
Noah Brown	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	0.0	0.0
Byron Marshall	UT	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	200	0.0	0.0
Dan Arnold	UT	TE	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	0.0	0.0
Braxton Berrios	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Teddy Bridgewater	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	0.00	6400	0.1	0.0
Cody Hollister	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Mack Hollins	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Michael Floyd	UT	WR	WAS	@NO	220	52.50	6.00	23.25	0.00	1600	2.1	1.3
Cooper Rush	UT	QB	DAL	@HOU	145	45.50	3.00	21.25	0.00	6400	0.1	0.0
D'Onta Foreman	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Richard Rodgers	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Colt McCoy	UT	QB	WAS	@NO	220	52.50	6.00	23.25	0.00	6400	0.1	0.0
Joshua Dobbs	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	7200	0.1	0.0
Trevor Siemian	UT	QB	MIN	@PHI	145	47.00	3.00	22.00	0.00	6600	0.1	0.0
